Entity,Value
Lugares,Plaza del Sol
Lugares,Plaza patria
Lugares,Avenida Aviacion
Lugares,Av Calma
Lugares,Gran Plaza
Lugares,Providencia
Lugares,Glorieta Minerva
Lugares,Plaza Andares
Lugares,Plaza Galerias
Lugares,Zapopan
Lugares,UVM Sur
Lugares,Mariano Otero
Lugares,Chapala
Lugares,Centro
Lugares,Av Belisario Dominguez
Lugares,Periferico
Lugares,Av 18 de marzo
Lugares,Av Chapultepec
Lugares,Av Lazaro Cardenas
Lugares,Av Lopez Mateos
Lugares,Av Lopez Mateos Sur
Lugares,Periferico esquina con Vallarta
Lugares,El Fortin
Lugares,Expo Guadalajara
Lugares,Fraccionamiento Revolucion
