Entity,Value,,,
Easter_Entities,Corazon,,,
Easter_Entities,Hogwarts,,,
feedback,queja,,,
hora,hora,,,
io,entrada,,,
io,salida,,,
io,subir,,,
Link-instrucciones,Link,,,
Link-instrucciones,Instrucciones,,,
Lugares,Av Belisario Dominguez,,,
Lugares,Centro,,,
Lugares,Plaza Andares,,,
Lugares,Av 18 de marzo,,,
Lugares,Periferico,,,
Lugares,Av Calma,,,
Lugares,Gran Plaza,,,
Lugares,Providencia,,,
Lugares,Glorieta Minerva,,,
Lugares,Plaza Galerias,,,
Lugares,Chapala,,,
Lugares,Av Chapultepec,,,
Lugares,Fraccionamiento Revolucion,,,
Lugares,Expo Guadalajara,,,
Lugares,El Fortin,,,
Lugares,Periferico esquina con Vallarta,,,
Lugares,Mariano Otero,,,
Lugares,Av Lopez Mateos Sur,,,
Lugares,UVM Sur,,,
Lugares,Zapopan,,,
Lugares,Av Lopez Mateos,,,
Lugares,Av Lazaro Cardenas,,,
Lugares,Plaza del Sol,,,
Lugares,Plaza patria,,,
Lugares,Avenida Aviacion,,,
miscEng,love,,,
ninguno,ninguna,,,
opciones,primero,,,
opciones,segundo,,,
persona,coordinador,,,
personal,creo,,,
personal,eres,,,
personal,vives,,,
Pronombres,tu,,,
Rutas,Lazaro Cardenas 1,,,
Rutas,Patria 2,,,
Rutas,Zapopan 3,,,
Rutas,Vallarta,,,
Rutas,Lazaro Cardenas 2,,,
Rutas,Sauz,,,
Rutas,Santa Margarita,,,
Rutas,Zalatitlan 1,,,
Rutas,Artesanos 1,,,
Rutas,Copernico,,,
Rutas,Miravalle,,,
Rutas,Loma Dorada 1,,,
Rutas,Agaves,,,
Rutas,Olivos,,,
Rutas,Tonala,,,
Rutas,San Pedrito,,,
Rutas,El Salto 1,,,
Rutas,San Joaquin,,,
Rutas,San Gaspar,,,
Rutas,Santa Fe 1,,,
Rutas,La Noria,,,
Rutas,Artesanos,,,
Rutas,El Salto,,,
Rutas,Loma del Sur,,,
Rutas,Tepeyac,,,
Rutas,Zapopan 1,,,
Rutas,Santa Fe,,,
Rutas,Real de Colima,,,
Rutas,Chapala,,,
Rutas,Aviacion,,,
Rutas,Loma Bonita,,,
Rutas,Estadio,,,
Rutas,Mariano Otero,,,
Rutas,Loma Dorada,,,
Rutas,Oblatos,,,
Rutas,Transito,,,
Rutas,Periferico,,,
Rutas,Patria 1,,,
Rutas,Aguilas 1,,,
Rutas,Aguilas 2,,,
Rutas,San Isidro,,,
Rutas,Zapopan 2,,,
sentimientos,molesto,,,
sentimientos,decepcionado,,,
servicio,pagina web,,,
servicio,reglamento,,,
servicio,reembolso,,,
servicio,transporte ctg,,,
Turnos,3er turno manufactura,,,
Turnos,Turno administrativo 8:30am - 5:30pm,turno administrativo de las 5 pm,turno administrativo de las 5:30 pm,turno administrativo de las 5
Turnos,1er turno manufactura,,,
Turnos,Turno administrativo 7am - 4pm,,,
Turnos,2do turno manufactura,,,
Turnos_simple,Admin,,,
Turnos_simple,Manufactura,,,
turnos_tipos,manufactura,,,
turnos_tipos,administrativos,,,
